Jogador,Equipa_CSV,Jogador_Sofascore,Equipa_Sofascore,Foto_Jogador_URL,Escudo_Clube_URL,Liga,Pais_Liga,Logo_Liga_URL,Match_Score,Qualidade_Match
Pedro Vilhena,Operário PR,Pedro Vilhena,Operário-PR,https://api.sofascore.com/api/v1/player/1009937/image,https://api.sofascore.com/api/v1/team/39634/image,Brasileirão Série B,Brazil,https://api.sofascore.com/api/v1/unique-tournament/390/image,0.4,BAIXA_REVISAR
Pedro Vitor,São Bernardo FC,Pedro Vitor,São Bernardo,https://api.sofascore.com/api/v1/player/976852/image,https://api.sofascore.com/api/v1/team/47504/image,Brasileirão Série B,Brazil,https://api.sofascore.com/api/v1/unique-tournament/390/image,0.91,ALTA
Peglow,DC United,João Peglow,DC United,https://api.sofascore.com/api/v1/player/1002523/image,https://api.sofascore.com/api/v1/team/2502/image,MLS,USA,https://api.sofascore.com/api/v1/unique-tournament/242/image,0.94,ALTA
Pepê,Vitória,Pepeto,Acadêmica Vitória,https://api.sofascore.com/api/v1/player/1109440/image,https://api.sofascore.com/api/v1/team/32673/image,"Pernambucano, Série A2",Brazil,https://api.sofascore.com/api/v1/unique-tournament/21161/image,0.51,MEDIA
Perotti,Chapecoense,Perotti,Chapecoense,https://api.sofascore.com/api/v1/player/840076/image,https://api.sofascore.com/api/v1/team/21845/image,Brasileirão Betano,Brazil,https://api.sofascore.com/api/v1/unique-tournament/325/image,1.0,ALTA
Petterson,Paysandu,Petterson,Brusque,https://api.sofascore.com/api/v1/player/1170955/image,https://api.sofascore.com/api/v1/team/21884/image,Brasileirão Série C,Brazil,https://api.sofascore.com/api/v1/unique-tournament/1281/image,0.4,BAIXA_REVISAR
Petterson,Concórdia,Petterson Lopes Guilherme,Concórdia AC,https://api.sofascore.com/api/v1/player/2436707/image,https://api.sofascore.com/api/v1/team/257674/image,Catarinense,Brazil,https://api.sofascore.com/api/v1/unique-tournament/376/image,0.83,ALTA
Philipe Maia,Bangkok United,Philipe Maia,True Bangkok United,https://api.sofascore.com/api/v1/player/795010/image,https://api.sofascore.com/api/v1/team/85741/image,Thai League 1,Thailand,https://api.sofascore.com/api/v1/unique-tournament/1032/image,0.91,ALTA
Philippe Coutinho,Vasco da Gama,Ivo Coutinho,Vasco da Gama,https://api.sofascore.com/api/v1/player/1956565/image,https://api.sofascore.com/api/v1/team/234224/image,Portugal LBP,Portugal,https://api.sofascore.com/api/v1/unique-tournament/1926/image,0.92,ALTA
Pierre,Fortaleza,Pierre,Fortaleza,https://api.sofascore.com/api/v1/player/1017710/image,https://api.sofascore.com/api/v1/team/2020/image,Brasileirão Série B,Brazil,https://api.sofascore.com/api/v1/unique-tournament/390/image,1.0,ALTA
Pierre,Fortaleza,Pierre,Fortaleza,https://api.sofascore.com/api/v1/player/1017710/image,https://api.sofascore.com/api/v1/team/2020/image,Brasileirão Série B,Brazil,https://api.sofascore.com/api/v1/unique-tournament/390/image,1.0,ALTA
Pimentinha,Sampaio Corrêa,Pimentinha,Maranhão AC,https://api.sofascore.com/api/v1/player/870807/image,https://api.sofascore.com/api/v1/team/21858/image,Brasileirão Série C,Brazil,https://api.sofascore.com/api/v1/unique-tournament/1281/image,0.4,BAIXA_REVISAR
